Grade,Math,English,Korean
1,77.62389732802106,80.69611544866893,55.50187000163223
1,70.21172624232307,79.02991557611273,89.86084943031429
1,68.11427038721365,76.23292343466827,63.251597685541036
1,77.63486756158548,79.54881804871852,78.4030904921555
1,79.93191912010866,73.15253730136739,96.83096639470565
1,63.00199397038825,77.65505913127909,66.28184503788734
1,70.30045706579546,77.53415052222432,66.79569990402895
1,70.29854862507193,75.74740643522529,65.35010819709419
1,60.9930271817274,75.10242530578098,79.85591376290164
1,67.20230132134269,72.3591539877175,85.87198825521415
1,64.78162898524323,74.91687545969529,56.0402645159464
1,75.4619995878054,78.37415472694349,88.08357913824433
1,66.96876459186596,76.38282386667605,76.51272492648046
1,70.02730698933384,75.59050015550339,83.41927422314276
1,64.59631759247212,74.19705275926498,73.03073198995043
1,74.55228605244619,71.32622459103004,79.47512081080647
1,64.6908601105107,76.07334105447845,66.02258258225964
1,68.67682412670216,76.97655863542354,85.58787066369355
1,75.39157827306082,73.09436093641517,76.46423082539114
1,77.26164462616,82.61694018583502,84.85595734074052
1,68.70480147854785,76.2712485034854,77.12827284982693
1,76.24017805523643,73.85032687473785,79.2457712583773
1,68.15124975778684,76.04598176861498,92.17807444283706
1,58.944485152187056,78.43414292176364,73.2416067040669
1,93.0488313786193,76.72358727691811,76.50103499181445
1,71.5761622005388,77.74944246064112,86.04469883280902
1,61.7869839186745,77.74180730432703,83.5822384262597
1,73.6539035533355,74.69616119210104,94.4593944190293
1,64.24318302968405,76.3036701716678,76.77447171585729
1,73.35268197814302,79.84260116717323,67.69055612985832
1,71.1078462415929,70.67864517148676,88.97703686954335
1,75.22228281664626,79.27524409580033,54.6549828190151
1,72.04176661203978,72.70782273774701,84.66663276025976
1,64.11253067215249,73.01802963112559,72.47813883403941
1,71.96203171945152,71.5600500438293,73.88396981487396
1,68.21031077038934,79.63370834534044,81.79576391622989
1,70.25109817962934,75.06021411159563,95.96499978668773
1,51.52544392050772,75.98782660316527,91.24698519515617
1,77.33735550870031,70.27102330094203,98.83372032410422
1,66.68246489869925,70.1763670795684,96.179937873793
1,69.1327637281313,73.61553245102509,69.75373045212433
1,71.14039616412816,73.7911102374932,92.50840602076437
1,73.5433669399888,71.10844265734232,82.42264521162059
1,71.94871645876205,72.36585763965238,68.76603368648414
1,60.85597845495913,79.54962287439501,78.91719632158993
1,75.9137051117398,72.67783413833973,85.12544772833267
1,67.90658059311069,73.30663005465766,76.69439803338797
1,77.12841901979759,81.36751114697319,81.29567282759807
1,62.88661840160333,77.96957787341209,73.08344366633368
1,64.29747325346491,75.92143942107302,63.475066434550264
1,66.10430701370457,66.17817238791707,79.27894260040168
1,69.82846946972083,80.84199825583397,75.8220502932693
