group1,group2
4.963581650340208,7.821365012469616
6.469980046452563,7.963917481984519
2.4124449734336486,9.438356983149351
6.214543402618634,7.2393685570143
4.525891390563858,9.664745215237776
7.569659505655553,5.196579284003912
5.183024924134615,4.500771982151583
5.060553979101419,6.911895789788663
8.726008833951335,7.665060325127407
5.000094789505873,5.425787831019057
6.195683832037693,7.93586155419527
4.895195708978781,6.172152508014809
7.160287878772079,6.622983864989442
7.712132252441451,6.160858988521056
4.9860055509729015,5.577510904974831
7.768106662975951,5.074969269180063
5.809037822072132,5.163382882244879
4.43131087929285,5.46056195984152
6.112053557900544,8.498629495633672
4.620874015545041,6.807372797819318
5.282550570079986,5.117462451619064
3.912953528096429,7.175292097468343
7.680574763852753,6.1104843288126425
6.495154942954977,8.536421345796024
5.406955050237009,6.873501696463014
6.571132652336491,7.000846501839102
4.313496104528844,6.975333349222892
6.27441912702724,6.244803610202613
9.18149631735117,7.225692787083489
7.204991461905301,8.837530457455749
4.32581028124045,5.120650456128526
5.974337468863683,5.322112879055622
6.280435368860728,8.365543912048166
6.142184823625415,8.09839096563011
3.4624669816827587,6.825068668366324
5.55251700896638,6.563699436036541
6.731262544432128,3.4352289969033833
7.350379194555773,4.469741983785578
4.63112326838605,7.051773932937147
8.031366305408241,7.741490539598965
5.144795363412485,9.295961329426444
4.219438199874276,7.80415413322663
7.071826762970961,5.258300951673457
7.908312000349238,7.134924341697284
8.005927285921658,7.1532753069728745
4.588435423530425,5.6531085497948474
5.958705577818171,7.162694852025369
5.360041021846298,7.66326106707361
5.071459615242588,6.395953066991322
5.260484325246199,7.5576404206617775
6.013297247445162,6.126007484434277
6.8980896477169535,7.115956027917583
5.641758840943569,8.775653665261801
7.4360228085807725,7.8716047770372155
4.016328558819681,9.268435906800878
7.212169444909963,6.762785998994792
5.205448234037528,6.910980820014153
8.20925051945749,8.755203636253515
6.845656077451693,2.9414924305544465
3.0041313750984724,7.852929760422002
8.35247735169187,8.530307136083952
4.01663221399225,7.812708867402724
6.916858851216259,5.569339255770981
8.493540193609425,8.744126368342533
7.049698114014856,5.773272231209406
3.6502320709100666,5.895788323446667
5.343010374121398,6.937895706734297
4.5761624344641625,6.924980568842355
6.644344753015146,9.520434153113037
7.702015519090108,7.4810385625740174
6.326245696607833,8.15526917806677
4.566106485871387,9.042621329957491
6.773177189277718,5.81383180183653
6.2008350959217,6.588501878629196
5.655161830413101,7.558983641537224
6.657404217883835,7.898744421389857
5.453683490760489,5.53563044882673
7.978446277673853,7.134369865027199
7.384999948309372,7.2592073719071095
2.9259110489114,4.68603451404756
1.8411396139926843,8.799585305935604
3.8972394554742316,5.991200241547263
5.369993148806423,7.408713043574264
4.966524837638255,8.799227492214447
6.088547891875865,7.931744432580089
4.830473938853108,6.797190878947692
7.867241942325864,6.6620335446700025
4.930606513998687,6.101978006599381
4.635560502300545,5.92858588209373
4.046749598775277,5.5124130299179415
6.556539035486434,7.061953443463012
4.953042511809796,4.266123883844829
7.814096042388959,6.265795252343286
5.07858672041308,7.3007457565787055
3.7460114556343207,8.154846360898377
6.86863268877957,5.56488653697984
5.316824733242322,5.393820474446369
6.651156047837742,7.837277825806726
7.708035879775942,7.149648508420191
3.7717123891109328,6.266437598293588
